turn	era	score	type	description
1	ERA_ANCIENT	1	MOMENT_CITY_BUILT_NEAR_FLOODABLE_RIVER	The citizens of Xi'an adjust to their new home, and keep a wary eye on the nearby river.
11	ERA_ANCIENT	1	MOMENT_GOODY_HUT_TRIGGERED	Villagers bring gifts as they join our civilization.
17	ERA_ANCIENT	1	MOMENT_GOODY_HUT_TRIGGERED	Villagers bring gifts as they join our civilization.
17	ERA_ANCIENT	1	MOMENT_PANTHEON_FOUNDED	Could this numinous moment be what those other prophets were talking about?
18	ERA_ANCIENT	3	MOMENT_FIND_NATURAL_WONDER_FIRST_IN_WORLD	Explorers of China are the first from a major civilization to set eyes on Mount Everest!
18	ERA_ANCIENT	3	MOMENT_FIND_NATURAL_WONDER_FIRST_IN_WORLD	Explorers of China are the first from a major civilization to set eyes on Hạ Long Bay!
18	ERA_ANCIENT	1	MOMENT_GOODY_HUT_TRIGGERED	Villagers bring gifts as they join our civilization.
21	ERA_ANCIENT	1	MOMENT_GOODY_HUT_TRIGGERED	Villagers bring gifts as they join our civilization.
22	ERA_ANCIENT	1	MOMENT_PLAYER_MET_MAJOR	Wary welcomes and curious stares mark the moment of our meeting with the people of Scythia.
26	ERA_ANCIENT	1	MOMENT_GOODY_HUT_TRIGGERED	Villagers bring gifts as they join our civilization.
30	ERA_ANCIENT	1	MOMENT_GOODY_HUT_TRIGGERED	Villagers bring gifts as they join our civilization.
32	ERA_CLASSICAL	1	MOMENT_TECH_RESEARCHED_IN_ERA_FIRST	Many dispute the actual start of the Classical Era, but you know it was when China discovered Currency.
35	ERA_CLASSICAL	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Simon Peter chooses to bring their talents to China.
35	ERA_CLASSICAL	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Stonehenge, the citizens of Xi'an remember their glorious past.
35	ERA_CLASSICAL	1	MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST	Let others say what they will, but the real flourishing of Classical Era culture began with the discovery of Drama and Poetry by China.
36	ERA_CLASSICAL	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Gobustan.
37	ERA_CLASSICAL	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Oracle, the citizens of Chengdu remember their glorious past.
38	ERA_CLASSICAL	3	MOMENT_CITY_BUILT_NEAR_NATURAL_WONDER	The inspirational sight of Hạ Long Bay fills the citizens of our new city of Changsha with joy.
39	ERA_CLASSICAL	2	MOMENT_RELIGION_FOUNDED	Clawd is the true path of salvation! Please ignore all those other ones!
40	ERA_CLASSICAL	2	MOMENT_GOVERNMENT_ENACTED_TIER_1_FIRST	China adopts government by Classical Republic, leading to a new political age for the citizens.
41	ERA_CLASSICAL	3	MOMENT_CITY_BUILT_NEAR_NATURAL_WONDER	The inspirational sight of Mount Everest fills the citizens of our new city of Beijing with joy.
41	ERA_CLASSICAL	1	MOMENT_CITY_BUILT_ON_SNOW	The citizens of Beijing have a hundred words for "snow."
41	ERA_CLASSICAL	1	MOMENT_PLAYER_MET_MAJOR	Wary welcomes and curious stares mark the moment of our meeting with the people of Poland.
42	ERA_CLASSICAL	3	MOMENT_FIND_NATURAL_WONDER_FIRST_IN_WORLD	Explorers of China are the first from a major civilization to set eyes on Chocolate Hills!
42	ERA_CLASSICAL	2	MOMENT_PLAYER_GAVE_ENVOY_BECAME_SUZERAIN_FIRST_IN_WORLD	The rulers of Bandar Brunei bow to China, who became their first Suzerain in the world.
43	ERA_CLASSICAL	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Great Bath, the citizens of Chengdu remember their glorious past.
47	ERA_CLASSICAL	1	MOMENT_PLAYER_MET_MAJOR	Wary welcomes and curious stares mark the moment of our meeting with the people of Germany.
49	ERA_CLASSICAL	3	MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_THEATER_SQUARE	Delightful songs, inspiring words. The artists, poets, and playwrights of Chengdu all stroll the streets of our Theater Square.
52	ERA_MEDIEVAL	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Apadana, the citizens of Xi'an remember their glorious past.
52	ERA_MEDIEVAL	3	MOMENT_GREAT_PERSON_CREATED_PATRONAGE_FAITH_OVER_HALF	The prayers of the faithful are answered! Valmiki appears to change the destiny of China.
52	ERA_MEDIEVAL	1	MOMENT_CITY_BUILT_NEAR_OTHER_CIV_CITY	The bureaucrats of Scythia are piqued by our boldness in settling Chen so near their own city of Myriv.
52	ERA_MEDIEVAL	2	MOMENT_CITY_BUILT_NEW_CONTINENT	Chen becomes the first settlement on Europe!
52	ERA_MEDIEVAL	1	MOMENT_PLAYER_MET_MAJOR	Wary welcomes and curious stares mark the moment of our meeting with the people of England.
52	ERA_MEDIEVAL	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Cliffs of Dover.
53	ERA_MEDIEVAL	1	MOMENT_TECH_RESEARCHED_IN_ERA_FIRST	Many dispute the actual start of the Medieval Era, but you know it was when China discovered Apprenticeship.
55	ERA_MEDIEVAL	3	MOMENT_GREAT_PERSON_CREATED_PATRONAGE_FAITH_OVER_HALF	The prayers of the faithful are answered! Hildegard of Bingen appears to change the destiny of China.
55	ERA_MEDIEVAL	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Pamukkale.
56	ERA_MEDIEVAL	1	MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST	Let others say what they will, but the real flourishing of Medieval Era culture began with the discovery of Feudalism by China.
56	ERA_MEDIEVAL	3	MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_COMMERCIAL_HUB	They say that people are drawn to the Commercial Hub of Jiaodong just for the excitement of buying and selling in the market. But the money is pretty good, too.
59	ERA_MEDIEVAL	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Temple of Artemis, the citizens of Chen remember their glorious past.
60	ERA_MEDIEVAL	3	MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_CAMPUS	Walking the quads and lingering outside classrooms of the Campus near Beijing, you can hear scholars debate the ideas that will change the world.
61	ERA_MEDIEVAL	3	MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_HOLY_SITE	Chimes and chanting, incense and icon, the Holy Site of Changsha brings worshippers and pilgrims into contemplation of the higher matters.
64	ERA_MEDIEVAL	1	MOMENT_CITY_BUILT_ON_DESERT	Visitors complain about the heat of Handan, but at least it's a dry heat.
65	ERA_MEDIEVAL	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Geoffrey Chaucer chooses to bring their talents to China.
67	ERA_MEDIEVAL	1	MOMENT_IMPROVEMENT_CONSTRUCTED_ON_DISASTER_YIELD_TILE_FIRST	The adaptive people of China build after a natural disaster, taking advantage of the renewed land.
70	ERA_MEDIEVAL	1	MOMENT_CITY_SIZE_SMALL_FIRST	Xi'an grows and its people take pride in the thriving metropolitan life.
70	ERA_MEDIEVAL	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Colosseum, the citizens of Chengdu remember their glorious past.
72	ERA_RENAISSANCE	1	MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST	Let others say what they will, but the real flourishing of Renaissance Era culture began with the discovery of Exploration by China.
72	ERA_RENAISSANCE	2	MOMENT_GOVERNMENT_ENACTED_TIER_2_FIRST	Ancient traditions of governance evolve, and Qin (Mandate of Heaven) chooses Merchant Republic as its new way to rule.
73	ERA_RENAISSANCE	1	MOMENT_TECH_RESEARCHED_IN_ERA_FIRST	Many dispute the actual start of the Renaissance Era, but you know it was when China discovered Banking.
73	ERA_RENAISSANCE	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Petra, the citizens of Handan remember their glorious past.
74	ERA_RENAISSANCE	1	MOMENT_UNIT_CREATED_FIRST_REQUIRING_STRATEGIC	Skeptics may ask: "What good is Iron?" But we know now that it is a formidable weapon for our Knight.
76	ERA_RENAISSANCE	2	MOMENT_CITY_TRANSFERRED_DISLOYAL_FREE_CITY	The citizens of Myriv feel an affinity with us, and willingly enter our civilization.
77	ERA_RENAISSANCE	3	MOMENT_CITY_BUILT_BECAME_LARGEST_CIV_BY_MARGIN	Shenyang is the latest city in our sprawling empire, and other civilizations look on in awe.
77	ERA_RENAISSANCE	3	MOMENT_GREAT_PERSON_CREATED_PATRONAGE_FAITH_OVER_HALF	The prayers of the faithful are answered! Bi Sheng appears to change the destiny of China.
78	ERA_RENAISSANCE	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Dead Sea.
78	ERA_RENAISSANCE	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, William Shakespeare chooses to bring their talents to China.
79	ERA_RENAISSANCE	2	MOMENT_DISTRICT_CONSTRUCTED_CANAL	The opening of the Changsha Canal brings renewed trade and prosperity.
81	ERA_RENAISSANCE	2	MOMENT_CITY_BUILT_NEW_CONTINENT	Xingzhou becomes the first settlement on Africa!
82	ERA_RENAISSANCE	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Mausoleum at Halicarnassus, the citizens of Longxi remember their glorious past.
83	ERA_RENAISSANCE	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Kamāl ud-Dīn Behzād chooses to bring their talents to China.
83	ERA_RENAISSANCE	1	MOMENT_CITY_BUILT_NEAR_OTHER_CIV_CITY	The bureaucrats of Scythia are piqued by our boldness in settling Shanghai so near their own city of Maikop.
84	ERA_RENAISSANCE	1	MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST	Let others say what they will, but the real flourishing of Industrial Era culture began with the discovery of Civil Engineering by China.
84	ERA_RENAISSANCE	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Filippo Brunelleschi chooses to bring their talents to China.
85	ERA_RENAISSANCE	3	MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_INDUSTRIAL_ZONE	Whistles indicate the start of a new shift, and workers from Changsha stream into the Industrial Zone, ready to put in a good day's work.
88	ERA_RENAISSANCE	4	MOMENT_BUILDING_CONSTRUCTED_GAME_ERA_WONDER	Standing in the Forbidden City, the citizens of Jiaodong are filled with awe.
88	ERA_RENAISSANCE	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Leonardo da Vinci chooses to bring their talents to China.
92	ERA_RENAISSANCE	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Mimar Sinan chooses to bring their talents to China.
92	ERA_RENAISSANCE	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Marco Polo chooses to bring their talents to China.
93	ERA_RENAISSANCE	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Lysefjord.
95	ERA_INDUSTRIAL	4	MOMENT_UNIT_CREATED_FIRST_UNIQUE	Who but China could create the Crouching Tiger? And who can possibly resist it?
96	ERA_INDUSTRIAL	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Eyjafjallajökull.
97	ERA_INDUSTRIAL	1	MOMENT_TECH_RESEARCHED_IN_ERA_FIRST	Many dispute the actual start of the Industrial Era, but you know it was when China discovered Industrialization.
97	ERA_INDUSTRIAL	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Alexander Pushkin chooses to bring their talents to China.
97	ERA_INDUSTRIAL	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Yatsuhashi Kengyo chooses to bring their talents to China.
98	ERA_INDUSTRIAL	1	MOMENT_GREAT_PERSON_CREATED_PAST_ERA	After deliberation, Gustavus Adolphus chooses to bring their talents to China.
99	ERA_INDUSTRIAL	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Chichen Itza, the citizens of Changsha remember their glorious past.
101	ERA_INDUSTRIAL	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Jebel Barkal, the citizens of Xi'an remember their glorious past.
103	ERA_INDUSTRIAL	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Dimitrie Cantemir chooses to bring their talents to China.
105	ERA_INDUSTRIAL	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Gustave Eiffel chooses to bring their talents to China.
